key,code,registrationTime,dueDate,quantity,tax,link,published,key:sponsorship
invoice-01,IN-1234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-02,IN-0000-0000,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-03,IN-9999-9999,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-04,IN-9876-5432,2000/01/01 00:00,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-05,IN-2468-1357,2000/01/01 00:01,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-06,IN-6543-2109,2022/07/29 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-07,IN-1284-5578,2022/07/29 23:58,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-08,IN-2234-5578,2004/02/29 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-09,IN-9999-0000,2022/02/28 23:59,2022/03/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-10,IN-0000-9999,2022/02/28 23:59,2022/03/29 00:00,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-11,IN-3333-4444,2022/02/28 23:59,2099/12/31 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-12,IN-1334-5578,2022/02/28 23:59,2099/12/31 23:58,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-13,IN-1214-5578,2022/02/28 23:59,2024/02/29 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-52
invoice-14,IN-4444-3333,2022/02/28 23:59,2022/09/28 23:59,EUR 0.01,0.5,https://github.com/,true,sponsorship-52
invoice-15,IN-1734-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 0.02,0.5,https://github.com/,true,sponsorship-52
invoice-16,IN-2221-1112,2022/02/28 23:59,2022/09/28 23:59,EUR 10000000.00,0.5,https://github.com/,true,sponsorship-52
invoice-17,IN-1334-5778,2022/02/28 23:59,2022/09/28 23:59,EUR 9999999.99,0.5,https://github.com/,true,sponsorship-52
invoice-18,IN-2211-1122,2022/02/28 23:59,2022/09/28 23:59,USD 0.01,0.5,https://github.com/,true,sponsorship-53
invoice-19,IN-1234-1578,2022/02/28 23:59,2022/09/28 23:59,USD 0.02,0.5,https://github.com/,true,sponsorship-53
invoice-20,IN-1111-1111,2022/02/28 23:59,2022/09/28 23:59,USD 10000000.00,0.5,https://github.com/,true,sponsorship-53
invoice-21,IN-1874-5578,2022/02/28 23:59,2022/09/28 23:59,USD 9999999.99,0.5,https://github.com/,true,sponsorship-53
invoice-22,IN-2222-2222,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.0,https://github.com/,true,sponsorship-52
invoice-23,IN-1234-5679,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.01,https://github.com/,true,sponsorship-52
invoice-24,IN-1234-5659,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,1,https://github.com/,true,sponsorship-52
invoice-25,IN-1234-5699,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.99,https://github.com/,true,sponsorship-52
invoice-26,IN-8889-8889,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,,true,sponsorship-52
invoice-27,IN-8887-8887,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,http://a.b,true,sponsorship-52
invoice-28,IN-8887-8888,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,http://example123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123.com,true,sponsorship-52
invoice-29,IN-1234-5622,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,http://example.com/123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,true,sponsorship-52
invoice-30,IN-1234-5422,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,http://example.com/?,true,sponsorship-52
invoice-31,IN-1234-3422,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,http://example.com/?a,true,sponsorship-52
invoice-32,IN-1234-5623,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,ftp://example.com,true,sponsorship-52
invoice-33,IN-1234-5624,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,file:///path/to/file.txt,true,sponsorship-52
invoice-34,IN-8834-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,false,sponsorship-52
invoice-35,IN-1834-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-45
invoice-36,IN-9234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-61
invoice-37,IN-3234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-62
invoice-38,IN-4234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-62
invoice-39,IN-5234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-63
invoice-40,IN-6234-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-63
invoice-41,IN-6734-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 125.00,0.5,https://github.com/,true,sponsorship-63
invoice-42,IN-7734-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 1500.00,0,https://github.com/,true,sponsorship-56
invoice-43,IN-9734-5578,2022/02/28 23:59,2022/09/28 23:59,EUR 1500.00,0,https://github.com/,true,sponsorship-57
invoice-44,IN-1111-0001,2022/02/28 23:59,2022/09/28 23:59,EUR 1.00,0,https://InvoicePublicadaS58.com/,true,sponsorship-58
invoice-45,IN-1111-0002,2022/02/28 23:59,2022/09/28 23:59,EUR 1.00,0,https://InvoiceNoPublicadaS58.com/,false,sponsorship-58
invoice-46,IN-1111-0003,2022/02/28 23:59,2022/09/28 23:59,EUR 51.00,0,https://InvoicePublicadaS59.com/,true,sponsorship-59
invoice-47,IN-9999-9001,2022/02/28 23:59,2022/09/28 23:59,EUR 51.00,0,https://debeDejarPublicar.com/,false,sponsorship-65
invoice-48,IN-9999-9101,2022/02/28 23:59,2022/09/28 23:59,EUR 1000.00,0,https://llenaElPatrocinio.com/,true,sponsorship-66
invoice-49,IN-9999-9102,2022/02/28 23:59,2022/09/28 23:59,EUR 51.00,0,https://noDejaPublicarPorqueElRestoDeFacturasPaganElPatrocinio.com/,false,sponsorship-66
invoice-50,IN-9999-9201,2022/02/28 23:59,2022/09/28 23:59,EUR 51.00,0,https://noDejaPublicarPorqueElPatrocinioEstaPublicado.com/,false,sponsorship-67
